YearStart,LocationAbbr,StratificationCategory1,Stratification1,Data_Value
2011,CO,Race/Ethnicity,2 or more races,23.0
2011,CO,Age (years),25 - 34,19.3
2011,CO,Age (years),35 - 44,22.7
2011,CO,Age (years),45 - 54,24.2
2011,CO,Age (years),55 - 64,24.2
2011,CO,Age (years),65 or older,20.2
2011,CO,Race/Ethnicity,American Indian/Alaska Native,30.7
2011,CO,Race/Ethnicity,Asian,7.7
2011,CO,Education,College graduate,15.6
2011,CO,Income,Data not reported,17.5
2011,CO,Sex,Female,20.3
2011,CO,Education,High school graduate,23.5
2011,CO,Race/Ethnicity,Hispanic,26.5
2011,CO,Income,"Less than $15,000",25.9
2011,CO,Education,Less than high school,25.7
2011,CO,Sex,Male,21.1
2011,CO,Race/Ethnicity,Non-Hispanic Black,34.2
2011,CO,Race/Ethnicity,Non-Hispanic White,18.9
2011,CO,Race/Ethnicity,Other,23.5
2011,CO,Education,Some college or technical school,22.3
2011,CO,Total,Total,20.7
2011,CT,Income,"$15,000 - $24,999",28.7
2011,CT,Income,"$25,000 - $34,999",24.7
2011,CT,Income,"$35,000 - $49,999",27.5
2011,CT,Income,"$50,000 - $74,999",23.2
2011,CT,Income,"$75,000 or greater",20.7
2011,CT,Age (years),18 - 24,16.1
2011,CT,Race/Ethnicity,2 or more races,30.1
2011,CT,Age (years),25 - 34,23.2
2011,CT,Age (years),35 - 44,25.4
2011,CT,Age (years),45 - 54,27.0
2011,CT,Age (years),55 - 64,28.6
2011,CT,Age (years),65 or older,23.7
2011,CT,Race/Ethnicity,Asian,6.3
2011,CT,Education,College graduate,16.7
2011,CT,Income,Data not reported,24.8
2011,CT,Sex,Female,23.6
2011,CT,Education,High school graduate,29.0
2011,CT,Race/Ethnicity,Hispanic,32.6
2011,CT,Income,"Less than $15,000",31.7
2011,CT,Education,Less than high school,31.2
2011,CT,Sex,Male,25.4
2011,CT,Race/Ethnicity,Non-Hispanic Black,32.8
2011,CT,Race/Ethnicity,Non-Hispanic White,23.0
2011,CT,Race/Ethnicity,Other,36.0
2011,CT,Education,Some college or technical school,26.4
2011,CT,Total,Total,24.5
2011,DE,Income,"$15,000 - $24,999",35.6
2011,DE,Income,"$25,000 - $34,999",31.0
2011,DE,Income,"$35,000 - $49,999",32.3
2011,DE,Income,"$50,000 - $74,999",26.4
2011,DE,Income,"$75,000 or greater",27.0
2011,DE,Age (years),18 - 24,14.2
2011,DE,Race/Ethnicity,2 or more races,36.5
2011,DE,Age (years),25 - 34,25.3
2011,DE,Age (years),35 - 44,33.2
2011,DE,Age (years),45 - 54,31.4
2011,DE,Age (years),55 - 64,36.1
2011,DE,Age (years),65 or older,28.9
2011,DE,Race/Ethnicity,Asian,2.1
2011,DE,Education,College graduate,24.1
2011,DE,Income,Data not reported,22.0
2011,DE,Sex,Female,28.6
2011,DE,Education,High school graduate,27.9
2011,DE,Race/Ethnicity,Hispanic,22.4
2011,DE,Income,"Less than $15,000",33.5
2011,DE,Education,Less than high school,35.2
2011,DE,Sex,Male,29.0
2011,DE,Race/Ethnicity,Non-Hispanic Black,38.2
2011,DE,Race/Ethnicity,Non-Hispanic White,27.2
2011,DE,Education,Some college or technical school,30.9
2011,DE,Total,Total,28.8
2011,DC,Income,"$15,000 - $24,999",35.3
2011,DC,Income,"$25,000 - $34,999",30.0
2011,DC,Income,"$35,000 - $49,999",27.6
2011,DC,Income,"$50,000 - $74,999",20.3
2011,DC,Income,"$75,000 or greater",12.7
2011,DC,Age (years),18 - 24,8.5
2011,DC,Race/Ethnicity,2 or more races,32.2
2011,DC,Age (years),25 - 34,20.8
2011,DC,Age (years),35 - 44,22.0
2011,DC,Age (years),45 - 54,34.8
2011,DC,Age (years),55 - 64,30.6
2011,DC,Age (years),65 or older,26.3
2011,DC,Race/Ethnicity,Asian,0.9
2011,DC,Education,College graduate,11.9
2011,DC,Income,Data not reported,22.1
2011,DC,Sex,Female,28.4
2011,DC,Education,High school graduate,33.0
2011,DC,Race/Ethnicity,Hispanic,13.3
2011,DC,Income,"Less than $15,000",41.6
2011,DC,Education,Less than high school,39.7
2011,DC,Sex,Male,18.6
2011,DC,Race/Ethnicity,Non-Hispanic Black,36.7
2011,DC,Race/Ethnicity,Non-Hispanic White,10.7
2011,DC,Race/Ethnicity,Other,22.9
2011,DC,Education,Some college or technical school,31.0
2011,DC,Total,Total,23.7
2011,FL,Income,"$15,000 - $24,999",30.2
2011,FL,Income,"$25,000 - $34,999",29.7
2011,FL,Income,"$35,000 - $49,999",27.2
2011,FL,Income,"$50,000 - $74,999",26.5
2011,FL,Income,"$75,000 or greater",22.4
2011,FL,Age (years),18 - 24,10.7
2011,FL,Race/Ethnicity,2 or more races,26.7
2011,FL,Age (years),25 - 34,25.9
2011,FL,Age (years),35 - 44,29.9
2011,FL,Age (years),45 - 54,34.3
2011,FL,Age (years),55 - 64,31.2
2011,FL,Age (years),65 or older,23.4
2011,FL,Race/Ethnicity,American Indian/Alaska Native,22.3
2011,FL,Race/Ethnicity,Asian,6.2
2011,FL,Education,College graduate,21.1
2011,FL,Income,Data not reported,20.3
2011,FL,Sex,Female,25.6
2011,FL,Education,High school graduate,27.5
2011,FL,Race/Ethnicity,Hispanic,27.8
2011,FL,Income,"Less than $15,000",31.8
2011,FL,Education,Less than high school,32.7
2011,FL,Sex,Male,27.7
2011,FL,Race/Ethnicity,Non-Hispanic Black,35.7
2011,FL,Race/Ethnicity,Non-Hispanic White,24.9
2011,FL,Education,Some college or technical school,27.4
2011,FL,Total,Total,26.6
2011,GA,Income,"$15,000 - $24,999",33.2
2011,GA,Income,"$25,000 - $34,999",29.0
2011,GA,Income,"$35,000 - $49,999",26.8
2011,GA,Income,"$50,000 - $74,999",31.2
2011,GA,Income,"$75,000 or greater",21.3
2011,GA,Age (years),18 - 24,15.0
2011,GA,Race/Ethnicity,2 or more races,27.1
2011,GA,Age (years),25 - 34,26.5
2011,GA,Age (years),35 - 44,29.6
2011,GA,Age (years),45 - 54,33.7
2011,GA,Age (years),55 - 64,34.4
2011,GA,Age (years),65 or older,25.4
2011,GA,Race/Ethnicity,American Indian/Alaska Native,31.6
2011,GA,Race/Ethnicity,Asian,5.4
2011,GA,Education,College graduate,21.4
2011,GA,Income,Data not reported,23.3
2011,GA,Sex,Female,29.3
2011,GA,Education,High school graduate,29.5
2011,GA,Race/Ethnicity,Hispanic,26.4
2011,GA,Income,"Less than $15,000",33.9
2011,GA,Education,Less than high school,34.1
2011,GA,Sex,Male,26.7
2011,GA,Race/Ethnicity,Non-Hispanic Black,36.8
2011,GA,Race/Ethnicity,Non-Hispanic White,25.0
2011,GA,Race/Ethnicity,Other,8.6
2011,GA,Education,Some college or technical school,28.6
2011,GA,Total,Total,28.0
2011,HI,Income,"$15,000 - $24,999",21.2
2011,HI,Income,"$25,000 - $34,999",21.9
2011,HI,Income,"$35,000 - $49,999",19.9
2011,HI,Income,"$50,000 - $74,999",28.2
2011,HI,Income,"$75,000 or greater",21.0
2011,HI,Age (years),18 - 24,9.3
2011,HI,Race/Ethnicity,2 or more races,32.5
2011,HI,Age (years),25 - 34,23.7
2011,HI,Age (years),35 - 44,30.5
2011,HI,Age (years),45 - 54,25.0
2011,HI,Age (years),55 - 64,22.8
2011,HI,Age (years),65 or older,16.9
2011,HI,Race/Ethnicity,Asian,16.0
2011,HI,Education,College graduate,15.2
2011,HI,Income,Data not reported,15.9
2011,HI,Sex,Female,19.2
2011,HI,Race/Ethnicity,Hawaiian/Pacific Islander,45.5
2011,HI,Education,High school graduate,24.9
2011,HI,Race/Ethnicity,Hispanic,26.8
2011,HI,Income,"Less than $15,000",23.1
2011,HI,Education,Less than high school,27.1
2011,HI,Sex,Male,24.4
2011,HI,Race/Ethnicity,Non-Hispanic White,19.0
2011,HI,Race/Ethnicity,Other,23.2
2011,HI,Education,Some college or technical school,22.8
2011,HI,Total,Total,21.8
2011,ID,Income,"$15,000 - $24,999",29.0
2011,ID,Income,"$25,000 - $34,999",29.0
2011,ID,Income,"$35,000 - $49,999",26.5
2011,ID,Income,"$50,000 - $74,999",28.9
2011,ID,Income,"$75,000 or greater",22.0
2011,ID,Age (years),18 - 24,15.7
2011,ID,Race/Ethnicity,2 or more races,34.9
2011,ID,Age (years),25 - 34,27.6
2011,ID,Age (years),35 - 44,28.0
2011,ID,Age (years),45 - 54,32.0
2011,ID,Age (years),55 - 64,33.0
2011,ID,Age (years),65 or older,24.3
2011,ID,Race/Ethnicity,American Indian/Alaska Native,28.6
2011,ID,Education,College graduate,21.5
2011,ID,Income,Data not reported,25.8
2011,ID,Sex,Female,27.9
2011,ID,Education,High school graduate,28.2
2011,ID,Race/Ethnicity,Hispanic,35.9
2011,ID,Income,"Less than $15,000",30.0
2011,ID,Education,Less than high school,32.8
2011,ID,Sex,Male,26.2
2011,ID,Race/Ethnicity,Non-Hispanic White,25.9
2011,ID,Education,Some college or technical school,27.6
2011,ID,Total,Total,27.0
2011,IL,Income,"$15,000 - $24,999",31.4
2011,IL,Income,"$25,000 - $34,999",26.9
2011,IL,Income,"$35,000 - $49,999",27.7
2011,IL,Income,"$50,000 - $74,999",28.1
2011,IL,Income,"$75,000 or greater",24.7
2011,IL,Age (years),18 - 24,11.8
2011,IL,Race/Ethnicity,2 or more races,33.4
2011,IL,Age (years),25 - 34,24.3
2011,IL,Age (years),35 - 44,28.3
2011,IL,Age (years),45 - 54,32.8
2011,IL,Age (years),55 - 64,33.1
2011,IL,Age (years),65 or older,29.1
2011,IL,Race/Ethnicity,Asian,4.6
2011,IL,Education,College graduate,23.4
2011,IL,Income,Data not reported,19.3
2011,IL,Sex,Female,26.5
2011,IL,Education,High school graduate,29.0
2011,IL,Race/Ethnicity,Hispanic,25.2
2011,IL,Income,"Less than $15,000",29.1
2011,IL,Education,Less than high school,29.0
2011,IL,Sex,Male,27.7
2011,IL,Race/Ethnicity,Non-Hispanic Black,39.2
2011,IL,Race/Ethnicity,Non-Hispanic White,26.0
2011,IL,Education,Some college or technical school,28.0
2011,IL,Total,Total,27.1
2011,IN,Income,"$15,000 - $24,999",35.3
2011,IN,Income,"$25,000 - $34,999",32.0
2011,IN,Income,"$35,000 - $49,999",30.3
2011,IN,Income,"$50,000 - $74,999",32.0
2011,IN,Income,"$75,000 or greater",26.4
2011,IN,Age (years),18 - 24,19.6
2011,IN,Race/Ethnicity,2 or more races,45.4
2011,IN,Age (years),25 - 34,30.9
2011,IN,Age (years),35 - 44,33.2
2011,IN,Age (years),45 - 54,35.8
2011,IN,Age (years),55 - 64,36.7
2011,IN,Age (years),65 or older,26.6
2011,IN,Race/Ethnicity,American Indian/Alaska Native,37.9
2011,IN,Education,College graduate,23.5
2011,IN,Income,Data not reported,27.5
2011,IN,Sex,Female,30.8
2011,IN,Education,High school graduate,32.3
2011,IN,Race/Ethnicity,Hispanic,34.7
2011,IN,Income,"Less than $15,000",35.0
2011,IN,Education,Less than high school,36.2
2011,IN,Sex,Male,30.9
2011,IN,Race/Ethnicity,Non-Hispanic Black,42.2
2011,IN,Race/Ethnicity,Non-Hispanic White,29.5
2011,IN,Education,Some college or technical school,31.8
2011,IN,Total,Total,30.8
2011,IA,Income,"$15,000 - $24,999",33.8
2011,IA,Income,"$25,000 - $34,999",32.1
2011,IA,Income,"$35,000 - $49,999",32.7
2011,IA,Income,"$50,000 - $74,999",33.3
2011,IA,Income,"$75,000 or greater",25.0
2011,IA,Age (years),18 - 24,14.4
2011,IA,Race/Ethnicity,2 or more races,33.7
2011,IA,Age (years),25 - 34,22.8
2011,IA,Age (years),35 - 44,32.7
2011,IA,Age (years),45 - 54,35.6
2011,IA,Age (years),55 - 64,35.6
2011,IA,Age (years),65 or older,29.1
2011,IA,Race/Ethnicity,Asian,3.0
2011,IA,Education,College graduate,23.2
2011,IA,Income,Data not reported,20.1
2011,IA,Sex,Female,27.4
2011,IA,Education,High school graduate,33.0
2011,IA,Race/Ethnicity,Hispanic,33.2
2011,IA,Income,"Less than $15,000",28.5
2011,IA,Education,Less than high school,28.2
2011,IA,Sex,Male,30.4
2011,IA,Race/Ethnicity,Non-Hispanic Black,27.8
2011,IA,Race/Ethnicity,Non-Hispanic White,29.2
2011,IA,Education,Some college or technical school,29.0
2011,IA,Total,Total,29.0
2011,KS,Income,"$15,000 - $24,999",31.8
2011,KS,Income,"$25,000 - $34,999",30.9
2011,KS,Income,"$35,000 - $49,999",32.7
2011,KS,Income,"$50,000 - $74,999",31.0
2011,KS,Income,"$75,000 or greater",25.6
2011,KS,Age (years),18 - 24,16.1
2011,KS,Race/Ethnicity,2 or more races,33.5
2011,KS,Age (years),25 - 34,28.8
2011,KS,Age (years),35 - 44,32.9
2011,KS,Age (years),45 - 54,34.8
2011,KS,Age (years),55 - 64,36.0
2011,KS,Age (years),65 or older,26.3
2011,KS,Race/Ethnicity,American Indian/Alaska Native,32.8
2011,KS,Race/Ethnicity,Asian,8.9
2011,KS,Education,College graduate,24.9
2011,KS,Income,Data not reported,24.4
2011,KS,Sex,Female,29.1
2011,KS,Education,High school graduate,31.5
2011,KS,Race/Ethnicity,Hispanic,30.5
2011,KS,Income,"Less than $15,000",35.8
2011,KS,Education,Less than high school,30.6
2011,KS,Sex,Male,30.0
2011,KS,Race/Ethnicity,Non-Hispanic Black,40.9
2011,KS,Race/Ethnicity,Non-Hispanic White,29.1
2011,KS,Race/Ethnicity,Other,32.6
2011,KS,Education,Some college or technical school,31.3
2011,KS,Total,Total,29.6
2011,KY,Income,"$15,000 - $24,999",35.6
2011,KY,Income,"$25,000 - $34,999",30.0
2011,KY,Income,"$35,000 - $49,999",33.7
2011,KY,Income,"$50,000 - $74,999",34.4
2011,KY,Income,"$75,000 or greater",23.4
2011,KY,Age (years),18 - 24,21.2
2011,KY,Race/Ethnicity,2 or more races,45.2
2011,KY,Age (years),25 - 34,28.7
2011,KY,Age (years),35 - 44,33.7
2011,KY,Age (years),45 - 54,34.8
2011,KY,Age (years),55 - 64,36.4
2011,KY,Age (years),65 or older,25.1
2011,KY,Race/Ethnicity,American Indian/Alaska Native,25.9
2011,KY,Education,College graduate,24.4
2011,KY,Income,Data not reported,26.6
2011,KY,Sex,Female,31.1
2011,KY,Education,High school graduate,31.4
2011,KY,Race/Ethnicity,Hispanic,22.2
2011,KY,Income,"Less than $15,000",36.6
2011,KY,Education,Less than high school,34.0
2011,KY,Sex,Male,29.6
2011,KY,Race/Ethnicity,Non-Hispanic Black,43.2
2011,KY,Race/Ethnicity,Non-Hispanic White,29.5
2011,KY,Race/Ethnicity,Other,47.1
2011,KY,Education,Some college or technical school,30.6
2011,KY,Total,Total,30.4
2011,LA,Income,"$15,000 - $24,999",36.7
2011,LA,Income,"$25,000 - $34,999",36.8
2011,LA,Income,"$35,000 - $49,999",36.3
2011,LA,Income,"$50,000 - $74,999",36.8
2011,LA,Income,"$75,000 or greater",29.9
2011,LA,Age (years),18 - 24,17.0
2011,LA,Race/Ethnicity,2 or more races,23.0
2011,LA,Age (years),25 - 34,32.7
2011,LA,Age (years),35 - 44,38.5
2011,LA,Age (years),45 - 54,39.7
2011,LA,Age (years),55 - 64,41.0
2011,LA,Age (years),65 or older,28.7
2011,LA,Race/Ethnicity,American Indian/Alaska Native,39.6
2011,LA,Education,College graduate,26.6
2011,LA,Income,Data not reported,26.1
2011,LA,Sex,Female,33.8
2011,LA,Education,High school graduate,33.6
2011,LA,Race/Ethnicity,Hispanic,37.4
2011,LA,Income,"Less than $15,000",35.4
2011,LA,Education,Less than high school,36.3
2011,LA,Sex,Male,33.0
2011,LA,Race/Ethnicity,Non-Hispanic Black,39.4
2011,LA,Race/Ethnicity,Non-Hispanic White,31.0
2011,LA,Race/Ethnicity,Other,25.1
2011,LA,Education,Some college or technical school,35.8
2011,LA,Total,Total,33.4
2011,ME,Income,"$15,000 - $24,999",33.7
2011,ME,Income,"$25,000 - $34,999",30.0
2011,ME,Income,"$35,000 - $49,999",27.8
2011,ME,Income,"$50,000 - $74,999",25.8
2011,ME,Income,"$75,000 or greater",22.5
2011,ME,Age (years),18 - 24,14.8
2011,ME,Race/Ethnicity,2 or more races,29.9
2011,ME,Age (years),25 - 34,28.8
2011,ME,Age (years),35 - 44,28.9
2011,ME,Age (years),45 - 54,32.4
2011,ME,Age (years),55 - 64,32.7
2011,ME,Age (years),65 or older,24.5
2011,ME,Race/Ethnicity,American Indian/Alaska Native,29.0
2011,ME,Education,College graduate,20.2
2011,ME,Income,Data not reported,24.3
2011,ME,Sex,Female,27.6
2011,ME,Education,High school graduate,31.4
2011,ME,Race/Ethnicity,Hispanic,30.3
2011,ME,Income,"Less than $15,000",31.7
2011,ME,Education,Less than high school,32.2
2011,ME,Sex,Male,28.1
2011,ME,Race/Ethnicity,Non-Hispanic Black,15.0
2011,ME,Race/Ethnicity,Non-Hispanic White,27.9
2011,ME,Education,Some college or technical school,28.4
2011,ME,Total,Total,27.8
2011,MD,Income,"$15,000 - $24,999",31.0
2011,MD,Income,"$25,000 - $34,999",31.2
2011,MD,Income,"$35,000 - $49,999",36.8
2011,MD,Income,"$50,000 - $74,999",29.6
2011,MD,Income,"$75,000 or greater",24.4
2011,MD,Age (years),18 - 24,16.9
2011,MD,Race/Ethnicity,2 or more races,27.5
2011,MD,Age (years),25 - 34,26.4
2011,MD,Age (years),35 - 44,32.0
2011,MD,Age (years),45 - 54,31.9
2011,MD,Age (years),55 - 64,32.8
2011,MD,Age (years),65 or older,26.1
2011,MD,Race/Ethnicity,Asian,8.8
2011,MD,Education,College graduate,21.3
2011,MD,Income,Data not reported,23.4
2011,MD,Sex,Female,27.9
2011,MD,Education,High school graduate,32.6
2011,MD,Race/Ethnicity,Hispanic,21.2
2011,MD,Income,"Less than $15,000",35.0
2011,MD,Education,Less than high school,35.2
2011,MD,Sex,Male,28.7
2011,MD,Race/Ethnicity,Non-Hispanic Black,37.8
2011,MD,Race/Ethnicity,Non-Hispanic White,25.9
2011,MD,Race/Ethnicity,Other,24.2
2011,MD,Education,Some college or technical school,29.3
2011,MD,Total,Total,28.3
2011,MA,Income,"$15,000 - $24,999",26.1
2011,MA,Income,"$25,000 - $34,999",22.9
2011,MA,Income,"$35,000 - $49,999",25.4
2011,MA,Income,"$50,000 - $74,999",24.6
2011,MA,Income,"$75,000 or greater",19.3
2011,MA,Age (years),18 - 24,13.0
2011,MA,Race/Ethnicity,2 or more races,26.0
2011,MA,Age (years),25 - 34,18.6
2011,MA,Age (years),35 - 44,25.0
2011,MA,Age (years),45 - 54,26.1
2011,MA,Age (years),55 - 64,28.0
2011,MA,Age (years),65 or older,22.8
2011,MA,Race/Ethnicity,American Indian/Alaska Native,42.4
2011,MA,Race/Ethnicity,Asian,4.8
2011,MA,Education,College graduate,17.3
2011,MA,Income,Data not reported,19.7
2011,MA,Sex,Female,21.4
2011,MA,Education,High school graduate,25.2
2011,MA,Race/Ethnicity,Hispanic,30.9
2011,MA,Income,"Less than $15,000",29.4
2011,MA,Education,Less than high school,31.1
2011,MA,Sex,Male,24.1
2011,MA,Race/Ethnicity,Non-Hispanic Black,31.8
2011,MA,Race/Ethnicity,Non-Hispanic White,22.1
2011,MA,Race/Ethnicity,Other,26.6
2011,MA,Education,Some college or technical school,24.1
2011,MA,Total,Total,22.7
2011,MI,Income,"$15,000 - $24,999",35.4
2011,MI,Income,"$25,000 - $34,999",30.5
2011,MI,Income,"$35,000 - $49,999",28.6
2011,MI,Income,"$50,000 - $74,999",32.6
2011,MI,Income,"$75,000 or greater",28.2
2011,MI,Age (years),18 - 24,17.3
2011,MI,Race/Ethnicity,2 or more races,35.3
2011,MI,Age (years),25 - 34,31.3
2011,MI,Age (years),35 - 44,33.3
2011,MI,Age (years),45 - 54,34.7
2011,MI,Age (years),55 - 64,38.0
2011,MI,Age (years),65 or older,29.5
2011,MI,Race/Ethnicity,American Indian/Alaska Native,38.6
2011,MI,Race/Ethnicity,Asian,6.9
2011,MI,Education,College graduate,26.6
2011,MI,Income,Data not reported,28.4
2011,MI,Sex,Female,30.7
2011,MI,Education,High school graduate,32.1
2011,MI,Race/Ethnicity,Hispanic,36.7
2011,MI,Income,"Less than $15,000",37.0
2011,MI,Education,Less than high school,33.8
2011,MI,Sex,Male,31.9
2011,MI,Race/Ethnicity,Non-Hispanic Black,41.0
2011,MI,Race/Ethnicity,Non-Hispanic White,29.7
2011,MI,Education,Some college or technical school,32.8
2011,MI,Total,Total,31.3
2011,MN,Income,"$15,000 - $24,999",28.7
2011,MN,Income,"$25,000 - $34,999",27.4
2011,MN,Income,"$35,000 - $49,999",29.3
2011,MN,Income,"$50,000 - $74,999",28.9
2011,MN,Income,"$75,000 or greater",22.0
2011,MN,Age (years),18 - 24,14.7
2011,MN,Race/Ethnicity,2 or more races,31.0
2011,MN,Age (years),25 - 34,24.5
2011,MN,Age (years),35 - 44,28.6
2011,MN,Age (years),45 - 54,27.9
2011,MN,Age (years),55 - 64,32.2
2011,MN,Age (years),65 or older,23.7
2011,MN,Race/Ethnicity,American Indian/Alaska Native,38.3
2011,MN,Race/Ethnicity,Asian,9.1
2011,MN,Education,College graduate,20.1
2011,MN,Income,Data not reported,23.0
2011,MN,Sex,Female,22.9
2011,MN,Education,High school graduate,28.9
2011,MN,Race/Ethnicity,Hispanic,31.6
2011,MN,Income,"Less than $15,000",23.3
2011,MN,Education,Less than high school,28.2
2011,MN,Sex,Male,28.4
2011,MN,Race/Ethnicity,Non-Hispanic Black,28.1
2011,MN,Race/Ethnicity,Non-Hispanic White,25.9
2011,MN,Race/Ethnicity,Other,32.7
2011,MN,Education,Some college or technical school,27.2
2011,MN,Total,Total,25.7
2011,MS,Income,"$15,000 - $24,999",39.9
